Название переменной;Значение переменной;Variable label;Статус переменной в RCVS-18;Статус переменной в RCVS-21;Статус переменной в RCVS-24
Q12;Можно ли сказать, что преступник был сотрудником правоохранительных органов или при исполнении служебных обязанностей?;Can it be said that the criminal was a law enforcement officer or on official duty? ;Y;Y;N
Q13;Был ли преступник или кто-нибудь из преступников в состоянии алкогольного или наркотического опьянения?;Was the criminal (or one of them) intoxicated? ;Y;Y;F
Q38;Преступление, которое мы обсуждали, было единственным или повторялось (случилось не меньше двух раз)?;Was the crime we discussed a one-off or a repeat offense (happened at least twice)? ;Y;N;N
Q39;Рассказывали ли вы кому-нибудь из близких о случившемся?;Did you tell someone close about the crime? ;Y;Y;Y
Q40;Узнали ли о случившемся правоохранительные органы?;Did the law enforcement find out about the crime? ;Y;Y;Y
Q41;Кто обратился в правоохранительные органы?;Who contacted law enforcement? ;Y;Y;N
Q42_1;Куда именно Вы обратились? В полицию;Where exactly did you report it? The police ;Y;Y;N
Q42_2;Куда именно Вы обратились? В прокуратуру;Where exactly did you report it? The prosecutor's office ;Y;Y;N
Q42_3;Куда именно Вы обратились? В следственный комитет;Where exactly did you report it? The Investigative Committee ;Y;Y;N
Q42_999;Куда именно Вы обратились? Затрудняюсь ответить;Where exactly did you report it? Difficult to say ;Y;Y;N
Q43;Как именно Вы обратились в полицию?;How exactly did you report it to the police? ;Y;O;N
Q44;Как быстро полиция приехала после Вашего звонка?;How quickly did the police arrive after your call? ;Y;Y;N
Q45;Сколько раз Вы встречались с сотрудниками правоохранительных органов по поводу случившегося?;How many times did you meet with law enforcement regarding the crime? ;Y;O;N
Q46;В результате, они возбудили уголовное или административное дело? (1-Уголовное, 2-Административное);Did they open criminal or administrative case? ;Y;Y;O
Q68;Дошло ли дело до суда?;Did the case go to a court? ;Y;Y;F
Q47_1;Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? В суд;Did you ask someone for help except law enforcement? Court ;Y;Y;F
Q47_2;Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? К адвокатам, юристам;Did you ask someone for help except law enforcement? Lawyer, attorney ;Y;Y;F
Q47_3;Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? К знакомым, близким, друзьям;Did you ask someone for help except law enforcement? Relatives, friends, distant friends ;Y;Y;F
Q47_4;Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? К частным лицам (например, частные охранные структуры);Did you ask someone for help except law enforcement? Private parties ;Y;Y;F
Q47_5;Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? В банк;Did you ask someone for help except law enforcement? Bank ;N;Y;QF
Q47_6;Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? К бандитам, криминальным авторитетам;Did you ask someone for help except law enforcement? To gangsters, criminal authorities ;N;Y;QF
Q47_998;Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? К кому-то другому;Did you ask someone for help except law enforcement? Other ;N;N;Y
Q47_888;Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? Нет, не обращался ни к кому;Did you ask someone for help except law enforcement? No ;Y;Y;F
Q47_999;Обращались ли Вы за помощью по поводу случившегося еще к кому-нибудь, кроме правоохранительных органов? Затрудняюсь ответить;Did you ask someone for help except law enforcement? Difficult to say ;Y;Y;F
Q49;Известен ли виновный или кто-либо из виновных, если их было несколько?;Did they identify the criminal (or one of them in case there were many)? ;Y;Y;Q
Q50;Кем был найден виновный или кто-либо из виновных, если их было несколько?;Who identified the criminal (or one of them in case there were many)? ;Y;O;O
Q51;Получил ли наказание виновный или кто-либо из виновных, если их было несколько?;Was the criminal punished (or one of them in case there were many)? ;Y;Y;Y
Q52;Примирились ли вы с виновными?;Did you reconcile with the criminal(s)? ;Y;Y;Q
Q53;Добивались ли вы материальной компенсации? Если да, то удалось ли ее добиться полностью, частично или не удалось?;Did you claim for compensation? If you did, have you been compensated? ;Y;Y;O
Q54;Оказавшись снова в аналогичной ситуации, Вы, скорее всего, обратились бы в полицию?;If the same crime were to happen to you again, would you contact the police? ;Y;Y;Y
Q55;Насколько Вас эмоционально затронула эта ситуация? Оцените, пожалуйста, по шкале от 1 до 10, где 1 - абсолютно не затронула, 10 - очень сильно затронула.;How much were you emotionally affected by this situation? Please rate it on a scale from 1 to 10, where 1 is absolutely unaffected, 10 is very much affected. ;N;N;Y
Q81;Сейчас хотели бы задать три вопроса о ваших ощущениях безопасности. Представьте, Вы идете в одиночестве после наступления темноты в районе, где Вы живете. Насколько безопасно Вы себя чувствуете в такой ситуации?;Now we'd like to ask three questions about your feelings of safety. Imagine you are walking alone after dark in the neighbourhood where you live. How safe do you feel in this situation? ;N;Y;O
Q82;Как часто вас беспокоит мысль о том, что Ваш дом или квартиру могут ограбить или обокрасть?;How often do you worry about the thought that your house or flat might be burgled or robbed? ;N;Y;O
Q83;Как часто вас беспокоит мысль о том, что Вы можете стать жертвой нападения?;How often do you worry about being a victim of assault? ;N;Y;O
Q572;Насколько Вы удовлетворены своей жизнью в целом в настоящее время? Ответьте по шкале от 1 до 10, где 1 – полностью не удовлетворен, а 10 – полностью удовлетворен.;How satisfied are you with your life in general at present? Answer on a scale of 1 to 10, where 1 is completely not satisfied and 10 is completely satisfied. ;N;Y;Y
Q573;В целом, как вы считаете, большинству людей можно доверять или нужно быть осторожнее?;Do you think most people can be trusted or do you need to be more careful? ;N;N;Y
Q574;Вы согласны с тем, что полиции можно доверять?;Do you agree that the police can be trusted? ;N;N;Y
Q575;Вы согласны с тем, что судебной системе можно доверять?;Do you agree that the judicial system can be trusted? ;N;N;Y
Q78;Спасибо! Мы изучаем какие люди становятся или не становятся жертвами преступлений, поэтому так же просим ответить вас на вопросы общего характера. Скажите, Вы проживаете один/одна?;Thank you! We're studying what kind of people do and don't become victims of crime, so we'd also like to ask you to answer some general questions. Do you live alone? ;Y;Y;QO
Q79;Состоите ли Вы в браке?;Are you married? ;Y;Y;Y
Q80;Сколько человек, считая вас, живет с вами вместе и ведет общее хозяйство?;How many people live in your household including you? ;Y;Y;Y
Q80_1N;Размер домохозяйства (число);Household size (number) ;Y;Y;Y
Q801;Как часто вы общаетесь с ближайшими родственниками?;How often do you communicate with your closest relatives? ;N;N;Y
Q802;Каким образом вы чаще всего общаетесь с ближайшими родственниками?;How do you most often communicate with your closest relatives? ;N;N;Y
Q57;Как бы вы определили свой уровень дохода?;How would you define your income level? ;Y;Y;Y
Q571_loan;Сейчас у вас есть какой-либо банковский или потребительский кредит, по которому вам нужно выплачивать деньги?;Do you currently have any bank or consumer loans on which you need to make repayments? ;N;N;Q571
Q571;Вы могли бы примерно назвать суммарный ежемесячный доход всех, с кем Вы живете и ведете общее хозяйство, включая вас?;Could you roughly name the total monthly income of everyone with whom you live and share a household, including you? ;N;Y;Q570
