region,age,all,respondents,kadry_vysshej_kvalifikacii,vysshee,magistratura,specialitet,bakalavriat,nepolnoe_vysshee,srednee_professionalnoe,specialist_srednego_zvena,kvalificirovannyj_rabochij,srednee,osnovnoe,nachalnoe,doshkolnoe,ne_imejushhie_obrazovanija,iz_nih_negramotnye,ne_ukazavshie_uroven_obrazovanija
Республика Северная Осетия – Алания,50-54 ,43699,38675,467,10654,687,7182,2785,1067,15897,11434,4463,7603,2861,40,-,86,45,5024
Республика Северная Осетия – Алания,55-59 ,44549,39664,493,9994,558,6946,2490,976,16527,11910,4617,8403,3148,30,-,93,40,4885
Республика Северная Осетия – Алания,60-64 ,44497,39821,474,8911,502,6268,2141,923,16921,12191,4730,8905,3215,411,-,61,23,4676
Республика Северная Осетия – Алания,65-69 ,34761,30891,382,6496,407,4456,1633,667,12998,9474,3524,7100,2714,475,-,59,20,3870
Республика Северная Осетия – Алания,70 и более,65350,58026,676,9110,623,6186,2301,972,20072,14754,5318,15168,7769,3936,-,323,43,7324
Чеченская Республика,6-9,120555,119464,-,-,-,-,-,-,-,-,-,-,-,-,94297,25167,290,1091
Чеченская Республика,10-14,162575,161723,-,-,-,-,-,-,-,-,-,-,-,127040,31962,2721,71,852
Чеченская Республика,15-17,86441,85846,-,-,-,-,-,-,-,-,-,19855,42011,23122,3,855,39,595
Чеченская Республика,18-19 ,52380,51873,-,-,-,-,-,-,6499,5154,1345,29332,13056,2680,-,306,26,507
Чеченская Республика,20-24 ,128931,127761,1,19710,819,2333,16558,3106,23305,17990,5315,56059,21195,3896,-,489,49,1170
Чеченская Республика,25-29 ,112606,111672,451,28720,2085,9259,17376,3316,20076,14959,5117,40512,15655,2544,-,398,46,934
Чеченская Республика,30-34 ,129910,129070,811,33475,1494,17342,14639,3217,23265,17273,5992,46686,18059,3003,-,554,52,840
Чеченская Республика,35-39 ,110024,109324,660,26040,1060,14917,10063,2441,20113,14974,5139,40474,16397,2714,-,485,36,700
Чеченская Республика,40-44 ,94916,94349,498,19968,765,12460,6743,2142,17942,13517,4425,36367,14699,2223,-,510,39,567
Чеченская Республика,45-49 ,73339,72865,374,14063,498,9218,4347,1471,14054,10506,3548,29614,11136,1749,-,404,30,474
Чеченская Республика,50-54 ,68640,68161,363,10967,382,7424,3161,1285,13545,10106,3439,28637,10933,1918,-,513,15,479
Чеченская Республика,55-59 ,67537,67017,299,9253,324,6410,2519,1073,12880,9676,3204,29098,11587,2279,-,548,23,520
Чеченская Республика,60-64 ,66352,65918,280,7646,225,5463,1958,975,11623,8849,2774,28422,12810,3406,-,756,27,434
Чеченская Республика,65-69 ,42443,42119,196,3821,107,2709,1005,538,6186,4715,1471,17466,9517,3660,-,735,45,324
Чеченская Республика,70 и более,41217,40856,139,2917,116,2078,723,434,3988,2991,997,13752,9134,8177,1,2314,423,361
Ставропольский край,6-9,138996,135155,-,-,-,-,-,-,-,-,-,-,-,-,104268,30887,311,3841
Ставропольский край,10-14,173282,170053,-,-,-,-,-,-,-,-,-,-,-,135670,32404,1979,7,3229
Ставропольский край,15-17,93773,91610,-,-,-,-,-,-,-,-,-,20135,51683,19153,6,633,59,2163
Ставропольский край,18-19 ,66521,64620,-,-,-,-,-,-,9957,6628,3329,39388,14300,764,-,211,55,1901
Ставропольский край,20-24 ,173790,166311,3,26843,1126,5963,19754,5211,55163,37821,17342,59693,16176,2699,-,523,214,7479
Ставропольский край,25-29 ,173054,167369,1832,60189,6113,27337,26739,5590,59389,40583,18806,25633,11481,2502,-,753,312,5685
Ставропольский край,30-34 ,246540,238418,4075,84972,4780,56328,23864,6997,84900,57420,27480,36771,16282,3466,-,955,361,8122
Ставропольский край,35-39 ,259031,250939,4846,87153,4687,61440,21026,7040,90988,61214,29774,39336,17301,3486,-,789,289,8092
Ставропольский край,40-44 ,233288,226127,3945,69536,3712,50223,15601,6107,87825,58742,29083,38660,16502,2874,-,678,242,7161
Ставропольский край,45-49 ,197299,191648,3032,50816,2684,37334,10798,4562,81418,54276,27142,35086,14078,2119,-,537,208,5651
Ставропольский край,50-54 ,174476,169754,2506,38080,1943,29133,7004,3689,78453,52708,25745,32183,12594,1839,-,410,163,4722
Ставропольский край,55-59 ,178846,174616,2471,33125,1686,25883,5556,3308,81957,55054,26903,38006,13487,1832,-,430,182,4230
Ставропольский край,60-64 ,196376,192190,2691,32907,1539,25783,5585,3224,91847,62639,29208,42820,16106,2250,-,345,130,4186
Ставропольский край,65-69 ,168399,164858,2231,25240,1008,19987,4245,2612,78415,53760,24655,37795,16007,2306,-,252,89,3541
Ставропольский край,70 и более,280469,274015,3356,32071,1280,25412,5379,3036,98181,66710,31471,66359,46170,23893,-,949,207,6454
Приволжский федеральный округ,6-9,1397533,1269716,-,-,-,-,-,-,-,-,-,-,-,-,977097,292619,2406,127817
Приволжский федеральный округ,10-14,1590545,1475589,-,-,-,-,-,-,-,-,-,-,-,1183269,273642,18678,646,114956
Приволжский федеральный округ,15-17,864016,794171,-,-,-,-,-,-,251,-,251,168040,480694,140332,23,4831,472,69845
Приволжский федеральный округ,18-19 ,579558,520222,-,-,-,-,-,-,91421,61645,29776,312819,111553,3168,1,1260,457,59336
Приволжский федеральный округ,20-24 ,1362074,1180145,623,212418,12950,44834,154634,42283,474929,325836,149093,362874,80096,4184,6,2732,1197,181929
Приволжский федеральный округ,25-29 ,1506417,1315131,13368,504144,64255,217579,222310,52663,530805,360468,170337,150342,56727,3819,2,3261,1509,191286
Приволжский федеральный округ,30-34 ,2360966,2057363,29604,780219,46180,533730,200309,65121,849387,568372,281015,231358,89324,7433,8,4909,2170,303603
Приволжский федеральный округ,35-39 ,2464258,2154491,35217,793248,44055,574740,174453,59517,898197,597524,300673,254706,100409,8239,10,4948,2118,309767
Приволжский федеральный округ,40-44 ,2175632,1917293,30222,621570,35531,458102,127937,44855,852011,561409,290602,257301,100466,6558,4,4306,1838,258339
Приволжский федеральный округ,45-49 ,1989450,1774033,25649,493032,28468,370867,93697,34450,858912,564237,294675,262471,90661,5275,6,3577,1516,215417
Приволжский федеральный округ,50-54 ,1825274,1641255,21157,375294,21066,294473,59755,28215,873914,573664,300250,258970,76764,4069,1,2871,1228,184019
Приволжский федеральный округ,55-59 ,2020819,1840878,22848,355326,19184,286253,49889,26002,999986,662420,337566,337934,91000,4937,1,2844,1249,179941
Приволжский федеральный округ,60-64 ,2260170,2080456,24408,346063,16764,282413,46886,24156,1102927,741008,361919,441466,127070,11766,1,2599,1101,179714
Приволжский федеральный округ,65-69 ,1876483,1724314,21413,272113,11433,222606,38074,18616,860131,586384,273747,387313,147243,15480,2,2003,775,152169
Приволжский федеральный округ,70 и более,3025373,2762412,33367,373708,14552,306995,52161,24323,1000563,688680,311883,616395,476800,229988,8,7260,1717,262961
Республика Башкортостан,6-9,210671,206300,-,-,-,-,-,-,-,-,-,-,-,-,160238,46062,344,4371
Республика Башкортостан,10-14,245981,243778,-,-,-,-,-,-,-,-,-,-,-,192908,48506,2364,120,2203
Республика Башкортостан,15-17,136421,135067,-,-,-,-,-,-,-,-,-,31335,77816,25279,1,636,89,1354
Республика Башкортостан,18-19 ,90541,89591,-,-,-,-,-,-,17581,12831,4750,51476,19384,991,-,159,50,950
Республика Башкортостан,20-24 ,210707,207357,429,35147,2282,7265,25600,7755,89118,63655,25463,60276,13150,1210,-,272,107,3350
Республика Башкортостан,25-29 ,222551,219286,2629,75755,8983,32524,34248,9705,99715,70450,29265,22512,7819,868,-,283,125,3265
Республика Башкортостан,30-34 ,349041,343667,5025,117103,6797,77255,33051,11889,160706,111948,48758,33847,12794,1810,1,492,221,5374
Республика Башкортостан,35-39 ,355333,349788,5764,115042,5842,82221,26979,10377,166698,115647,51051,35996,13553,1833,-,525,213,5545
Республика Башкортостан,40-44 ,298687,294280,4721,84708,4543,61966,18199,7821,148288,101676,46612,34391,12604,1359,-,388,165,4407
Республика Башкортостан,45-49 ,257945,254525,3711,62061,3162,46714,12185,5476,137589,93842,43747,33212,11072,1051,-,353,138,3420
Республика Башкортостан,50-54 ,253664,250736,2915,47759,2311,37519,7929,4366,147066,99705,47361,36806,10552,981,-,291,113,2928
Республика Башкортостан,55-59 ,294158,290911,3211,44287,2169,35421,6697,4393,173715,117639,56076,49781,13894,1335,-,295,97,3247
Республика Башкортостан,60-64 ,319072,315983,3193,41569,1982,33534,6053,3892,184514,126118,58396,61476,19180,1847,-,312,106,3089
Республика Башкортостан,65-69 ,243500,241014,2634,31083,1261,25099,4723,3006,131267,90509,40758,49639,20884,2306,-,195,53,2486
Республика Башкортостан,70 и более,368109,364281,3558,37664,1470,30593,5601,3445,136576,94501,42075,80270,66385,35355,-,1028,154,3828
Республика Марий Эл,6-9,37118,31527,-,-,-,-,-,-,-,-,-,-,-,-,24211,7316,62,5591
Республика Марий Эл,10-14,40819,36115,-,-,-,-,-,-,-,-,-,-,-,28148,7466,501,16,4704
Республика Марий Эл,15-17,20901,18217,-,-,-,-,-,-,-,-,-,3249,12135,2709,1,123,15,2684
Республика Марий Эл,18-19 ,13309,11254,-,-,-,-,-,-,1524,931,593,7091,2571,17,-,51,23,2055
Республика Марий Эл,20-24 ,29916,23940,-,3944,437,792,2715,866,9086,5945,3141,7912,2026,28,-,78,38,5976
Республика Марий Эл,25-29 ,34201,27995,240,9704,1855,4167,3682,1044,11307,7291,4016,3835,1734,25,-,106,52,6206
Республика Марий Эл,30-34 ,57198,46837,550,15758,1193,11653,2912,1339,20334,12886,7448,5906,2764,42,-,144,58,10361
Республика Марий Эл,35-39 ,58732,49283,681,16014,1012,12480,2522,1190,22194,13767,8427,6089,2952,52,-,111,49,9449
Республика Марий Эл,40-44 ,49897,42628,589,12651,789,10026,1836,873,19906,12215,7691,5763,2681,29,-,136,52,7269
Республика Марий Эл,45-49 ,43249,38165,481,9812,685,7767,1360,604,19478,11871,7607,5456,2206,38,-,90,32,5084
Республика Марий Эл,50-54 ,40600,36144,390,8053,440,6838,775,483,20422,12529,7893,5145,1541,24,-,86,38,4456
Республика Марий Эл,55-59 ,47822,43541,461,8674,404,7533,737,445,25156,15311,9845,6747,1940,26,-,92,35,4281
Республика Марий Эл,60-64 ,56195,51966,619,9165,360,8075,730,485,28127,17777,10350,10212,3037,242,-,79,31,4229
Республика Марий Эл,65-69 ,44623,41131,574,7339,257,6534,548,374,19904,12898,7006,8726,3724,416,-,74,27,3492
Республика Марий Эл,70 и более,61489,56643,786,9351,293,8314,744,471,20486,13656,6830,10266,9956,5143,-,184,32,4846
Республика Мордовия,6-9,31479,29693,-,-,-,-,-,-,-,-,-,-,-,-,23074,6619,53,1786
Республика Мордовия,10-14,39007,37464,-,-,-,-,-,-,-,-,-,-,-,29927,6979,558,2,1543
Республика Мордовия,15-17,22098,21010,-,-,-,-,-,-,1,-,1,4997,12860,2920,1,231,9,1088
Республика Мордовия,18-19 ,15944,14825,-,-,-,-,-,-,2083,1402,681,10388,2281,1,-,72,5,1119
Республика Мордовия,20-24 ,38405,34692,45,8665,718,1913,6034,1374,10781,7155,3626,12169,1558,10,-,90,38,3713
Республика Мордовия,25-29 ,40677,37330,469,17932,2330,8442,7160,1578,12334,8113,4221,3785,1172,6,-,54,28,3347
Республика Мордовия,30-34 ,60539,55709,806,25431,1403,18610,5418,1496,19977,12918,7059,6016,1875,11,-,97,48,4830
Республика Мордовия,35-39 ,62229,57488,876,24296,1399,18257,4640,1449,21645,13741,7904,7039,2053,9,-,121,62,4741
Республика Мордовия,40-44 ,56147,51830,783,18709,1112,14248,3349,1178,21378,13438,7940,7558,2123,11,-,90,42,4317
Республика Мордовия,45-49 ,54609,50620,696,14972,850,11653,2469,968,23393,14606,8787,8458,2047,5,-,81,36,3989
Республика Мордовия,50-54 ,54482,51300,608,11728,568,9595,1565,843,26237,16432,9805,9543,2242,7,-,92,41,3182
Республика Мордовия,55-59 ,60418,57380,637,11209,495,9401,1313,791,30055,19287,10768,12027,2588,3,-,70,32,3038
Республика Мордовия,60-64 ,67718,64537,625,11061,426,9294,1341,708,32501,21111,11390,15757,3530,288,-,67,37,3181
Республика Мордовия,65-69 ,54207,51511,473,8177,263,6878,1036,523,24202,15956,8246,13930,3823,323,-,60,37,2696
Республика Мордовия,70 и более,87817,82287,679,10654,311,9131,1212,673,26236,17301,8935,22556,13836,7308,-,345,69,5530
Республика Татарстан,6-9,211768,200787,-,-,-,-,-,-,-,-,-,-,-,-,152518,48269,269,10981
Республика Татарстан,10-14,216230,207388,-,-,-,-,-,-,-,-,-,-,-,160188,44689,2511,30,8842
Республика Татарстан,15-17,115917,110189,-,-,-,-,-,-,4,-,4,23956,67214,18340,2,673,43,5728
Республика Татарстан,18-19 ,80557,75060,-,-,-,-,-,-,13173,8913,4260,46521,15102,118,1,145,53,5497
Республика Татарстан,20-24 ,195098,178103,3,37710,2188,7829,27693,6755,70754,49034,21720,52680,9707,203,-,291,142,16995
Республика Татарстан,25-29 ,229273,211598,2732,96428,13119,41059,42250,8450,78219,53903,24316,18723,6489,220,-,337,168,17675
Республика Татарстан,30-34 ,353972,325440,5594,147041,9172,100032,37837,10560,123238,84782,38456,28396,9822,323,-,466,223,28532
Республика Татарстан,35-39 ,346193,318701,6324,139884,7776,101359,30749,9521,122262,83967,38295,29708,10190,354,-,458,206,27492
Республика Татарстан,40-44 ,290847,269237,5006,101910,5971,74960,20979,6738,114814,78299,36515,30116,9990,289,-,374,204,21610
Республика Татарстан,45-49 ,264968,247433,4276,79054,4762,59029,15263,5204,116249,78503,37746,32892,9143,249,-,366,182,17535
Республика Татарстан,50-54 ,240042,224944,3321,56512,3429,43722,9361,4036,117492,79083,38409,34679,8404,225,-,275,148,15098
Республика Татарстан,55-59 ,275656,259621,3342,50885,2861,40476,7548,3776,141942,96300,45642,48171,10940,243,-,322,157,16035
Республика Татарстан,60-64 ,297575,281550,3370,46314,2571,37252,6491,3442,150391,103674,46717,61854,14766,1117,-,296,146,16025
Республика Татарстан,65-69 ,236262,222969,2758,34048,1685,27696,4667,2452,112492,78337,34155,53076,16477,1442,-,224,106,13293
Республика Татарстан,70 и более,379847,357926,3848,43956,2229,35742,5985,2933,119152,83031,36121,89156,67152,30662,-,1067,284,21921
Удмуртская Республика,6-9,79349,67655,-,-,-,-,-,-,-,-,-,-,-,-,52023,15632,88,11694
Удмуртская Республика,10-14,92011,81221,-,-,-,-,-,-,-,-,-,-,-,74244,6105,872,45,10790
Удмуртская Республика,15-17,48431,42409,-,-,-,-,-,-,110,-,110,8285,25831,7990,1,192,27,6022
Удмуртская Республика,18-19 ,31148,25931,-,-,-,-,-,-,4545,2859,1686,14994,6118,218,-,56,34,5217
Удмуртская Республика,20-24 ,65829,53705,126,8220,467,1625,6128,2000,22533,14937,7596,16856,3578,239,-,153,79,12124
Удмуртская Республика,25-29 ,71981,56831,585,21011,3241,8193,9577,2282,22571,14591,7980,7684,2257,239,-,202,95,15150
Удмуртская Республика,30-34 ,115317,91354,1263,33857,2418,23920,7519,2519,37192,23405,13787,11772,3850,578,-,323,140,23963
Удмуртская Республика,35-39 ,126141,100252,1605,36380,2097,27850,6433,2244,40433,25398,15035,13790,4783,681,-,336,158,25889
Удмуртская Республика,40-44 ,111398,90780,1556,29668,1875,22732,5061,1620,37321,23396,13925,14525,5185,592,-,313,139,20618
Удмуртская Республика,45-49 ,99668,83772,1238,23820,1512,18594,3714,1152,37474,23809,13665,14807,4526,502,-,253,110,15896
Удмуртская Республика,50-54 ,86249,73291,1002,17504,1017,14228,2259,942,36256,23077,13179,14013,3099,317,-,158,59,12958
Удмуртская Республика,55-59 ,97979,85395,1011,17286,958,14443,1885,782,40747,26614,14133,21240,3768,416,-,145,60,12584
Удмуртская Республика,60-64 ,115103,102289,1090,17735,880,14976,1879,724,47229,31003,16226,28613,6109,651,-,138,52,12814
Удмуртская Республика,65-69 ,94130,83812,1003,14165,582,12029,1554,579,37063,25026,12037,22345,7727,827,-,103,32,10318
Удмуртская Республика,70 и более,133257,117603,1421,19612,699,16729,2184,804,40174,27602,12572,24860,20123,10292,1,316,79,15654
Чувашская Республика,6-9,65412,58284,-,-,-,-,-,-,-,-,-,-,-,-,45401,12883,67,7128
Чувашская Республика,10-14,71358,65962,-,-,-,-,-,-,-,-,-,-,-,51458,13778,726,11,5396
Чувашская Республика,15-17,36202,33604,-,-,-,-,-,-,-,-,-,6729,21329,5357,2,187,18,2598
Чувашская Республика,18-19 ,21891,19618,-,-,-,-,-,-,3581,2557,1024,11705,4238,31,-,63,14,2273
Чувашская Республика,20-24 ,52093,44121,-,9512,502,1937,7073,997,19287,14089,5198,11494,2606,54,-,171,73,7972
Чувашская Республика,25-29 ,59408,50024,388,21483,2702,9800,8981,1136,18973,13438,5535,6062,1755,66,-,161,71,9384
Чувашская Республика,30-34 ,94768,79343,940,34279,1821,25848,6610,1857,29495,20146,9349,9628,2778,92,-,274,150,15425
Чувашская Республика,35-39 ,94540,81018,1216,33580,1923,26256,5401,1663,30328,20281,10047,10757,3158,98,-,218,115,13522
Чувашская Республика,40-44 ,85474,74613,1060,26682,1599,21157,3926,1181,30556,20112,10444,11508,3347,105,-,174,83,10861
Чувашская Республика,45-49 ,82223,73487,846,20836,1272,16666,2898,882,33903,22364,11539,13436,3312,110,-,162,99,8736
Чувашская Республика,50-54 ,78704,71015,719,15932,900,13345,1687,727,36526,24024,12502,13931,2961,55,-,164,91,7689
Чувашская Республика,55-59 ,88077,80298,918,15600,776,13354,1470,661,41647,27706,13941,17766,3447,75,-,184,111,7779
Чувашская Республика,60-64 ,91497,84684,891,14515,580,12662,1273,623,42174,28618,13556,20772,5091,467,-,151,114,6813
Чувашская Республика,65-69 ,71157,66035,755,11019,453,9624,942,442,30329,21021,9308,16658,6147,582,-,103,59,5122
Чувашская Республика,70 и более,115089,107277,1300,15483,530,13521,1432,586,34783,24599,10184,21771,21473,11572,-,309,107,7812
Пермский край,6-9,130252,116498,-,-,-,-,-,-,-,-,-,-,-,-,89170,27328,238,13754
Пермский край,10-14,152875,139790,-,-,-,-,-,-,-,-,-,-,-,109319,28889,1582,39,13085
Пермский край,15-17,83762,75753,-,-,-,-,-,-,-,-,-,14614,48736,11995,2,406,26,8009
Пермский край,18-19 ,55472,48537,-,-,-,-,-,-,7302,4416,2886,28305,12767,68,-,95,53,6935
Пермский край,20-24 ,116179,97914,5,11005,658,2066,8281,3235,42202,26430,15772,32024,9075,125,-,243,127,18265
Пермский край,25-29 ,126051,106525,733,30707,4018,10905,15784,4748,48185,29570,18615,15073,6645,144,-,290,159,19526
Пермский край,30-34 ,200545,168964,1805,51008,3021,32162,15825,5602,77056,46296,30760,22621,10145,224,1,502,246,31581
Пермский край,35-39 ,217905,184650,2230,56397,2959,38280,15158,5282,83042,49452,33590,25101,11779,243,1,575,272,33255
Пермский край,40-44 ,193799,165351,1960,46437,2563,32140,11734,3761,76173,44996,31177,24262,11999,230,1,528,245,28448
Пермский край,45-49 ,183908,158957,2041,40077,2331,28551,9195,2923,77865,45883,31982,24630,10802,176,-,443,219,24951
Пермский край,50-54 ,155817,136169,1625,29181,1756,21932,5493,2361,73102,43108,29994,21700,7773,117,-,310,155,19648
Пермский край,55-59 ,162230,144335,1796,27108,1640,21074,4394,2131,78974,46908,32066,25705,8214,94,-,313,172,17895
Пермский край,60-64 ,185123,167511,2060,26992,1342,21446,4204,1914,89475,54107,35368,34091,11629,1081,-,269,145,17612
Пермский край,65-69 ,162184,146697,1759,21799,951,17402,3446,1452,73489,45290,28199,31190,15180,1595,-,233,109,15487
Пермский край,70 и более,253260,228234,3199,31969,1257,25454,5258,1989,86701,55421,31280,46324,40016,17456,1,579,185,25026
Кировская область,6-9,55587,49938,-,-,-,-,-,-,-,-,-,-,-,-,38061,11877,106,5649
Кировская область,10-14,62717,58660,-,-,-,-,-,-,-,-,-,-,-,46116,11812,732,27,4057
Кировская область,15-17,32576,30172,-,-,-,-,-,-,-,-,-,4738,18645,6609,-,180,18,2404
Кировская область,18-19 ,19614,17278,-,-,-,-,-,-,2411,1565,846,10439,4198,182,-,48,25,2336
Кировская область,20-24 ,41547,34969,1,5353,408,1302,3643,822,13905,9385,4520,11512,2983,248,3,142,82,6578
Кировская область,25-29 ,47603,40351,311,13701,1944,5401,6356,1022,16672,11019,5653,5888,2232,324,-,201,122,7252
Кировская область,30-34 ,82030,69215,770,22989,1097,16881,5011,1425,29906,19180,10726,9117,4005,644,3,356,203,12815
Кировская область,35-39 ,96022,81127,1016,27063,1372,20774,4917,1480,33915,21763,12152,11081,5355,890,3,324,172,14895
Кировская область,40-44 ,88729,76204,945,23069,1214,17922,3933,1040,33163,21155,12008,11510,5491,690,-,296,152,12525
Кировская область,45-49 ,81417,71993,814,18217,917,14499,2801,804,34666,22106,12560,11810,4866,543,3,270,134,9424
Кировская область,50-54 ,69672,62541,650,13118,658,10964,1496,654,33626,21260,12366,10867,3049,383,1,193,104,7131
Кировская область,55-59 ,82524,75472,824,13567,660,11632,1275,640,41340,26474,14866,14815,3637,452,1,196,89,7052
Кировская область,60-64 ,106444,98318,989,15221,552,13369,1300,706,52162,33917,18245,22020,6360,701,-,159,74,8126
Кировская область,65-69 ,89487,83254,895,12336,380,10876,1080,559,40771,27383,13388,19395,8158,974,1,165,80,6233
Кировская область,70 и более,135226,124438,1456,17794,457,15832,1505,809,46344,32629,13715,22552,21525,13550,1,407,150,10788
Нижегородская область,6-9,129230,108813,-,-,-,-,-,-,-,-,-,-,-,-,83255,25558,222,20417
Нижегородская область,10-14,155398,132124,-,-,-,-,-,-,-,-,-,-,-,103889,26481,1754,72,23274
Нижегородская область,15-17,88991,73084,-,-,-,-,-,-,-,-,-,15220,46522,10918,5,419,42,15907
Нижегородская область,18-19 ,61660,49038,-,-,-,-,-,-,9345,5976,3369,29157,10347,85,-,104,41,12622
Нижегородская область,20-24 ,150649,112004,2,21354,1548,4476,15330,4195,44414,29450,14964,34471,7202,158,1,207,96,38645
Нижегородская область,25-29 ,157012,121715,1240,50188,7361,21400,21427,4817,45578,29821,15757,14474,4924,178,1,315,160,35297
Нижегородская область,30-34 ,248534,192264,3134,78602,5703,52811,20088,6174,72624,46475,26149,23111,7912,263,-,444,201,56270
Нижегородская область,35-39 ,265847,206140,3700,82595,5396,58954,18245,5728,78233,49615,28618,25967,9199,281,1,436,180,59707
Нижегородская область,40-44 ,241287,188186,3277,66634,4314,48118,14202,4311,77965,49004,28961,26234,9111,273,1,380,160,53101
Нижегородская область,45-49 ,219770,174067,2789,52998,3457,38937,10604,3328,79600,50312,29288,26395,8399,236,-,322,140,45703
Нижегородская область,50-54 ,199942,160128,2410,41160,2777,31158,7225,2647,81011,50986,30025,25458,6969,186,-,287,112,39814
Нижегородская область,55-59 ,211517,173546,2458,38099,2484,29753,5862,2294,89731,57138,32593,32482,8015,210,-,257,126,37971
Нижегородская область,60-64 ,252547,211929,2852,38472,2435,30142,5895,2246,106482,69421,37061,48114,12505,1042,-,216,93,40618
Нижегородская область,65-69 ,215722,181103,2622,30763,1549,24217,4997,1751,85403,56699,28704,44491,14547,1326,-,200,78,34619
Нижегородская область,70 и более,362496,297948,4538,45885,2300,36134,7451,2376,102978,69859,33119,70939,48036,22585,-,611,142,64548
Оренбургская область,6-9,99165,93627,-,-,-,-,-,-,-,-,-,-,-,-,73295,20332,208,5538
Оренбургская область,10-14,117231,112818,-,-,-,-,-,-,-,-,-,-,-,90616,20977,1225,69,4413
Оренбургская область,15-17,58819,56487,-,-,-,-,-,-,11,-,11,12748,32580,10824,2,322,44,2332
Оренбургская область,18-19 ,36896,34667,-,-,-,-,-,-,7658,5165,2493,18665,7950,298,-,96,43,2229
Оренбургская область,20-24 ,82766,75172,-,11416,661,2489,8266,2208,34666,24533,10133,20703,5637,306,2,234,121,7594
Оренбургская область,25-29 ,94825,85167,799,28041,2878,12387,12776,3140,37921,26803,11118,10280,4386,333,1,266,114,9658
Оренбургская область,30-34 ,147384,132366,2108,44630,1945,31585,11100,3667,57698,40574,17124,16452,6773,637,3,398,186,15018
Оренбургская область,35-39 ,157139,141947,2516,47403,2345,34624,10434,3349,61665,43383,18282,18260,7621,728,4,401,178,15192
Оренбургская область,40-44 ,141149,128868,2155,37996,1870,28745,7381,2566,59076,40710,18366,18445,7727,568,2,333,153,12281
Оренбургская область,45-49 ,125713,116142,1666,29072,1448,22509,5115,1834,58190,40116,18074,17917,6753,430,2,278,126,9571
Оренбургская область,50-54 ,115430,107365,1384,21449,1003,17265,3181,1524,59596,41317,18279,17110,5714,348,-,240,95,8065
Оренбургская область,55-59 ,130746,123024,1499,21089,948,17320,2821,1432,69576,48305,21271,22239,6531,384,-,274,148,7722
Оренбургская область,60-64 ,147167,139358,1721,20667,762,17289,2616,1368,78247,55440,22807,27736,8589,804,1,225,83,7809
Оренбургская область,65-69 ,117580,111375,1510,15936,468,13350,2118,1028,58887,42470,16417,23532,9325,1005,1,151,60,6205
Оренбургская область,70 и более,182086,172553,2050,21055,570,17691,2794,1387,66429,47923,18506,35443,30716,14932,5,536,164,9533
Пензенская область,6-9,56333,50017,-,-,-,-,-,-,-,-,-,-,-,-,39004,11013,229,6316
Пензенская область,10-14,67334,61341,-,-,-,-,-,-,-,-,-,-,-,48315,12049,977,61,5993
Пензенская область,15-17,36091,32833,-,-,-,-,-,-,-,-,-,6977,20634,4952,2,268,46,3258
Пензенская область,18-19 ,24030,21365,-,-,-,-,-,-,3541,2485,1056,13524,4167,39,-,94,27,2665
Пензенская область,20-24 ,56178,48357,3,10265,594,2401,7270,1270,18350,13017,5333,15207,2923,120,-,219,65,7821
Пензенская область,25-29 ,62013,53850,484,20721,2755,9832,8134,1558,21340,14829,6511,7056,2351,128,-,212,87,8163
Пензенская область,30-34 ,98302,84954,1063,31720,1556,22682,7482,2234,34099,23630,10469,11510,3849,191,-,288,88,13348
Пензенская область,35-39 ,102239,88643,1326,31714,1629,23570,6515,1894,35949,24750,11199,12681,4585,189,-,305,104,13596
Пензенская область,40-44 ,93561,82387,1168,24574,1291,18340,4943,1516,36146,24588,11558,13757,4785,155,-,286,91,11174
Пензенская область,45-49 ,88012,78629,1045,19282,977,14751,3554,1206,37943,25665,12278,14214,4613,124,-,202,75,9383
Пензенская область,50-54 ,82476,74209,839,15860,830,12714,2316,1107,38352,26121,12231,13616,4189,106,-,140,50,8267
Пензенская область,55-59 ,91066,83117,1009,16170,786,13223,2161,953,42322,29077,13245,17384,5070,88,-,121,48,7949
Пензенская область,60-64 ,103099,94833,1041,16067,620,13390,2057,904,46409,32480,13929,22396,7116,748,-,152,60,8266
Пензенская область,65-69 ,89790,82452,979,13104,412,10881,1811,654,38027,26997,11030,20286,8312,989,-,101,36,7338
Пензенская область,70 и более,155482,142088,1632,19276,487,16134,2655,1059,48108,34452,13656,31884,26265,13499,-,365,70,13394
Самарская область,6-9,141384,129993,-,-,-,-,-,-,-,-,-,-,-,-,99205,30788,203,11391
Самарская область,10-14,151821,142474,-,-,-,-,-,-,-,-,-,-,-,119983,20387,2104,57,9347
Самарская область,15-17,85808,80591,-,-,-,-,-,-,88,-,88,17305,45769,16873,4,552,42,5217
Самарская область,18-19 ,59067,54157,-,-,-,-,-,-,8899,6107,2792,33849,10701,616,-,92,23,4910
Самарская область,20-24 ,143484,127119,3,24868,1235,5151,18482,5287,47215,32678,14537,40079,8686,759,-,222,61,16365
Самарская область,25-29 ,164618,148312,1311,60196,6285,27124,26787,7035,57274,39692,17582,15379,6112,665,-,340,106,16306
Самарская область,30-34 ,256014,230195,3228,92836,5151,63337,24348,8870,91595,62434,29161,22551,9352,1322,-,441,145,25819
Самарская область,35-39 ,277872,249916,4095,98721,5600,70794,22327,8588,100729,68409,32320,25387,10414,1492,1,489,157,27956
